"title","section","url"
"Hidroituango: EPM pide a constructores ceder su contrato para terminar la obra","Economía","https://www.elespectador.com/economia/hidroituango-epm-pide-a-constructores-ceder-su-contrato-para-terminar-la-obra/"
"Imputan al gobernador de Arauca por supuestos nexos administrativos con el Eln  ","Judicial","https://www.elespectador.com/judicial/imputan-al-gobernador-de-arauca-por-supuestos-nexos-administrativos-con-el-eln/"
"Citan a indagatoria a representante Sara Piedrahita Lyons por lavado de activos","Judicial","https://www.elespectador.com/judicial/citan-a-indagatoria-a-representante-sara-piedrahita-lyons-por-lavado-de-activos/"
"Tribunal español suspende la entrega de Hugo Carvajal a Estados Unidos","Europa","https://www.elespectador.com/mundo/europa/tribunal-espanol-suspende-la-entrega-de-hugo-carvajal-a-estados-unidos/"
"Alec Baldwin, de la comedia al drama, una trayectoria de altos y bajos ","La suma de las voces","https://www.elespectador.com/el-magazin-cultural/la-suma-de-las-voces/alec-baldwin-de-la-comedia-al-drama-una-trayectoria-de-altos-y-bajos/"
"TRUTH Social: la red social de Donald Trump se estrena con hackeo masivo","América","https://www.elespectador.com/mundo/america/truth-social-la-red-social-de-donald-trump-se-estrena-con-hackeo-masivo/"
"La historia de cómo una hidroeléctrica acabó con el río Anchicayá, en Buenaventura","Paz y Memoria","https://www.elespectador.com/colombia-20/paz-y-memoria/la-historia-de-como-una-hidroelectrica-acabo-con-el-rio-anchicaya-en-buenaventura/"
"El reconocimiento tardío de la pionera del abstraccionismo","El Magazín Cultural","https://www.elespectador.com/el-magazin-cultural/el-reconocimiento-tardio-de-la-pionera-del-abstraccionismo/"
"Colombia llega a 20 millones de personas con esquema de vacunación completo","Salud","https://www.elespectador.com/salud/coronavirus-colombia-llega-a-20-millones-de-personas-con-esquema-de-vacunacion-completo/"
"Algunos recuerdos de penales insólitos en la historia del fútbol","El Magazín Cultural","https://www.elespectador.com/el-magazin-cultural/recuerdos-de-los-penales-mas-locos-y-elegantes-de-la-historia-del-futbol/"
"Banco de Bogotá recibe la certificación como un Gran Lugar para Trabajar","Actualidad","https://www.elespectador.com/actualidad/banco-de-bogota-recibe-la-certificacion-como-un-gran-lugar-para-trabajar/"
